Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,Sample 1 Area,Sample 2 Area,Sample Profile (Ratio),A Area,B Area,Group Profile (Ratio),Avg. Mass,Description
394,722,tr|F1LXC7|F1LXC7_RAT,0.90,1,2,2,,7.76E6,5.98E6,1.00:0.77,7.76E6,5.98E6,1.00:0.77,144816,Protein LOC100362814 OS=Rattus norvegicus GN=LOC100362814 PE=1 SV=3
470,726,tr|F1LMW0|F1LMW0_RAT,0.89,2,1,1,,2.65E6,1.85E6,1.00:0.70,2.65E6,1.85E6,1.00:0.70,47323,Protein Tmem130 OS=Rattus norvegicus GN=Tmem130 PE=4 SV=2
512,766,tr|D4A7R3|D4A7R3_RAT,0.88,0,1,1,,2.38E7,1.68E7,1.00:0.71,2.38E7,1.68E7,1.00:0.71,227228,Nucleoporin 205kDa (Predicted) OS=Rattus norvegicus GN=Nup205 PE=1 SV=1
451,774,tr|Q5XIA6|Q5XIA6_RAT,0.88,2,1,1,,2.34E6,1.64E6,1.00:0.70,2.34E6,1.64E6,1.00:0.70,69761,Sphingomyelin phosphodiesterase OS=Rattus norvegicus GN=Smpd1 PE=1 SV=1
402,431,tr|D3ZZU4|D3ZZU4_RAT,0.88,4,1,1,,2.95E6,2.08E6,1.00:0.70,2.95E6,2.08E6,1.00:0.70,19587,Protein Tmem160 OS=Rattus norvegicus GN=Tmem160 PE=1 SV=1
267,226,tr|E9PT92|E9PT92_RAT,0.87,2,4,4,Carbamidomethylation,1.59E7,1.31E7,1.00:0.82,1.59E7,1.31E7,1.00:0.82,331991,Protein Csmd1 OS=Rattus norvegicus GN=Csmd1 PE=4 SV=2
405,453,Q568Y7|NOE2_RAT,0.86,4,2,2,,8.2E6,6.42E6,1.00:0.78,8.2E6,6.42E6,1.00:0.78,53870,Noelin-2 OS=Rattus norvegicus GN=Olfm2 PE=1 SV=1
285,218,Q8CGU6|NICA_RAT,0.86,5,4,4,,2.03E7,1.68E7,1.00:0.83,2.03E7,1.68E7,1.00:0.83,78400,Nicastrin OS=Rattus norvegicus GN=Ncstn PE=1 SV=1
192,500,tr|D3ZRN3|D3ZRN3_RAT,0.85,9,3,1,Carbamylation; Deamidation (NQ); Formylation; Oxidation (M); Iodination; Propionamide (K  X@N-term),4.34E7,6.07E7,1.00:1.40,4.34E7,6.07E7,1.00:1.40,41963,Protein Actbl2 OS=Rattus norvegicus GN=Actbl2 PE=1 SV=1
469,719,B1H234|FLRT3_RAT,0.85,2,1,1,,5.12E6,3.64E6,1.00:0.71,5.12E6,3.64E6,1.00:0.71,72911,Leucine-rich repeat transmembrane protein FLRT3 OS=Rattus norvegicus GN=Flrt3 PE=1 SV=1
420,642,Q9R066|CXAR_RAT,0.84,2,1,1,,4.8E6,3.43E6,1.00:0.71,4.8E6,3.43E6,1.00:0.71,39949,Coxsackievirus and adenovirus receptor homolog OS=Rattus norvegicus GN=Cxadr PE=1 SV=2
168,144,B0BNK7|LRFN3_RAT,0.84,13,7,7,Carbamidomethylation,3.26E7,2.67E7,1.00:0.82,3.26E7,2.67E7,1.00:0.82,66068,Leucine-rich repeat and fibronectin type-III domain-containing protein 3 OS=Rattus norvegicus GN=Lrfn3 PE=1 SV=1
485,906,tr|D3ZMR2|D3ZMR2_RAT,0.82,0,1,1,,6.24E6,4.48E6,1.00:0.72,6.24E6,4.48E6,1.00:0.72,158610,Protein Uhrf1bp1 OS=Rattus norvegicus GN=Uhrf1bp1 PE=1 SV=3
431,7269,P32551|QCR2_RAT,0.82,4,1,1,,3.14E6,2.25E6,1.00:0.72,3.14E6,2.25E6,1.00:0.72,48396,Cytochrome b-c1 complex subunit 2  mitochondrial OS=Rattus norvegicus GN=Uqcrc2 PE=1 SV=2
345,402,P29457|SERPH_RAT,0.81,9,3,3,,2.2E7,1.82E7,1.00:0.83,2.2E7,1.82E7,1.00:0.83,46518,Serpin H1 OS=Rattus norvegicus GN=Serpinh1 PE=1 SV=1
444,557,Q6AZ61|LMBD1_RAT,0.80,3,1,1,,1.38E7,1E7,1.00:0.72,1.38E7,1E7,1.00:0.72,61018,Probable lysosomal cobalamin transporter OS=Rattus norvegicus GN=Lmbrd1 PE=1 SV=1
502,573,tr|D4ABJ2|D4ABJ2_RAT,0.80,6,1,1,,8.46E6,6.14E6,1.00:0.73,8.46E6,6.14E6,1.00:0.73,21595,Protein Cbln4 OS=Rattus norvegicus GN=Cbln4 PE=4 SV=1
151,120,Q641Y8|DDX1_RAT,0.80,11,8,8,Carbamidomethylation; Formylation; Oxidation (M),3.1E7,2.56E7,1.00:0.82,3.1E7,2.56E7,1.00:0.82,82497,ATP-dependent RNA helicase DDX1 OS=Rattus norvegicus GN=Ddx1 PE=1 SV=1
74,48,P46101|DPP6_RAT,0.77,16,13,11,Formylation; Oxidation (M); Phosphorylation (STY),8.83E7,7.49E7,1.00:0.85,8.83E7,7.49E7,1.00:0.85,97302,Dipeptidyl aminopeptidase-like protein 6 OS=Rattus norvegicus GN=Dpp6 PE=1 SV=1
376,7258,tr|D4A477|D4A477_RAT,0.77,1,1,1,,4.18E6,3.07E6,1.00:0.73,4.18E6,3.07E6,1.00:0.73,88097,Protein Pcdhgb8 OS=Rattus norvegicus GN=Pcdhgb8 PE=4 SV=2
64,50,O88278|CELR3_RAT,0.75,6,18,17,Carbamidomethylation; Deamidation (NQ); Methylation(KR); Oxidation (M); Ethylation,8.05E7,6.85E7,1.00:0.85,8.05E7,6.85E7,1.00:0.85,359356,Cadherin EGF LAG seven-pass G-type receptor 3 OS=Rattus norvegicus GN=Celsr3 PE=1 SV=1
518,833,tr|G3V6U0|G3V6U0_RAT,0.72,3,1,1,,1.11E7,8.28E6,1.00:0.75,1.11E7,8.28E6,1.00:0.75,44783,Protein Rad51c OS=Rattus norvegicus GN=Rad51c PE=4 SV=2
461,551,Q5FVC2|ARHG2_RAT,0.72,1,1,1,,3.94E6,2.94E6,1.00:0.75,3.94E6,2.94E6,1.00:0.75,111909,Rho guanine nucleotide exchange factor 2 OS=Rattus norvegicus GN=Arhgef2 PE=1 SV=1
437,7329,P42260|GRIK2_RAT,0.71,2,1,1,,1.69E6,1.27E6,1.00:0.75,1.69E6,1.27E6,1.00:0.75,102470,Glutamate receptor ionotropic  kainate 2 OS=Rattus norvegicus GN=Grik2 PE=1 SV=2
341,304,P59215|GNAO_RAT,0.70,7,2,2,,1.09E7,8.89E6,1.00:0.82,1.09E7,8.89E6,1.00:0.82,40069,Guanine nucleotide-binding protein G(o) subunit alpha OS=Rattus norvegicus GN=Gnao1 PE=1 SV=2
506,672,tr|F1LWT9|F1LWT9_RAT,0.70,3,1,1,,2.98E6,2.25E6,1.00:0.75,2.98E6,2.25E6,1.00:0.75,29643,Neurexophilin OS=Rattus norvegicus GN=Nxph2 PE=3 SV=3
415,571,P47971|NPTX1_RAT,0.69,2,1,1,,4.64E6,3.5E6,1.00:0.75,4.64E6,3.5E6,1.00:0.75,47216,Neuronal pentraxin-1 OS=Rattus norvegicus GN=Nptx1 PE=1 SV=1
476,828,P17955|NUP62_RAT,0.69,2,1,1,,2.8E6,2.11E6,1.00:0.75,2.8E6,2.11E6,1.00:0.75,53397,Nuclear pore glycoprotein p62 OS=Rattus norvegicus GN=Nup62 PE=1 SV=1
232,229,tr|M0R5P8|M0R5P8_RAT,0.68,6,4,4,Carbamidomethylation,4.9E7,4.2E7,1.00:0.86,4.9E7,4.2E7,1.00:0.86,85695,Protein Adam22 OS=Rattus norvegicus GN=Adam22 PE=1 SV=2
49,86,tr|F1LV44|F1LV44_RAT,0.65,9,20,15,Carbamidomethylation; Deamidation (NQ); Pyro-glu from Q; Formylation,2.7E7,3.17E7,1.00:1.17,2.7E7,3.17E7,1.00:1.17,283736,Protein Tenm3 OS=Rattus norvegicus GN=Tenm3 PE=4 SV=3
438,7336,tr|D3ZLE2|D3ZLE2_RAT,0.63,2,1,1,,2.14E6,1.65E6,1.00:0.77,2.14E6,1.65E6,1.00:0.77,53579,Protein Tmcc3 OS=Rattus norvegicus GN=Tmcc3 PE=1 SV=1
323,7255,Q10743|ADA10_RAT,0.62,1,1,1,,5.26E6,4.07E6,1.00:0.77,5.26E6,4.07E6,1.00:0.77,60445,Disintegrin and metalloproteinase domain-containing protein 10 (Fragment) OS=Rattus norvegicus GN=Adam10 PE=2 SV=1
178,196,Q8CGU4|AGAP2_RAT,0.62,4,5,5,,1.49E7,1.28E7,1.00:0.86,1.49E7,1.28E7,1.00:0.86,124437,Arf-GAP with GTPase  ANK repeat and PH domain-containing protein 2 OS=Rattus norvegicus GN=Agap2 PE=1 SV=1
421,660,P84039|ENPP5_RAT,0.62,2,1,1,,4.06E6,3.15E6,1.00:0.78,4.06E6,3.15E6,1.00:0.78,54290,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 OS=Rattus norvegicus GN=Enpp5 PE=1 SV=2
474,778,P16970|ABCD3_RAT,0.59,2,1,1,,8.76E6,6.88E6,1.00:0.78,8.76E6,6.88E6,1.00:0.78,75316,ATP-binding cassette sub-family D member 3 OS=Rattus norvegicus GN=Abcd3 PE=1 SV=3
399,395,P24062|IGF1R_RAT,0.58,1,2,1,,1.73E5,2.2E5,1.00:1.27,1.73E5,2.2E5,1.00:1.27,155395,Insulin-like growth factor 1 receptor OS=Rattus norvegicus GN=Igf1r PE=2 SV=2
422,661,Q8CFG5|CA2D3_RAT,0.56,1,1,1,,2.51E6,1.99E6,1.00:0.79,2.51E6,1.99E6,1.00:0.79,122204,Voltage-dependent calcium channel subunit alpha-2/delta-3 OS=Rattus norvegicus GN=Cacna2d3 PE=1 SV=1
398,7354,tr|A0A0G2JXZ9|A0A0G2JXZ9_RAT,0.56,1,1,1,,3.59E6,2.85E6,1.00:0.79,3.59E6,2.85E6,1.00:0.79,141816,Protein Ptprj OS=Rattus norvegicus GN=Ptprj PE=1 SV=1
200,221,P07092|GDN_RAT,0.54,14,5,5,Oxidation (M),2.96E7,2.62E7,1.00:0.89,2.96E7,2.62E7,1.00:0.89,44063,Glia-derived nexin OS=Rattus norvegicus GN=Serpine2 PE=1 SV=1
83,45,P97685|NFASC_RAT,0.52,13,13,13,Carbamidomethylation; Formylation,7.11E7,6.32E7,1.00:0.89,7.11E7,6.32E7,1.00:0.89,138004,Neurofascin OS=Rattus norvegicus GN=Nfasc PE=1 SV=2
523,869,tr|M0R9Y9|M0R9Y9_RAT,0.52,8,1,1,,1.37E7,1.1E7,1.00:0.81,1.37E7,1.1E7,1.00:0.81,19584,Uncharacterized protein OS=Rattus norvegicus PE=4 SV=2
391,536,tr|D4A6G2|D4A6G2_RAT,0.50,1,1,1,,1.27E6,1.03E6,1.00:0.81,1.27E6,1.03E6,1.00:0.81,92214,Protein Sema4g OS=Rattus norvegicus GN=Sema4g PE=1 SV=1
486,1387,P15389|SCN5A_RAT,0.50,0,1,1,,3.84E6,3.12E6,1.00:0.81,3.84E6,3.12E6,1.00:0.81,227365,Sodium channel protein type 5 subunit alpha OS=Rattus norvegicus GN=Scn5a PE=1 SV=1
463,572,P25286|VPP1_RAT,0.48,1,1,1,,5.57E6,4.65E6,1.00:0.84,5.57E6,4.65E6,1.00:0.84,96328,V-type proton ATPase 116 kDa subunit a isoform 1 OS=Rattus norvegicus GN=Atp6v0a1 PE=2 SV=1
532,7260,F1LYQ8|FARP1_RAT,0.48,1,1,1,,3.89E6,3.18E6,1.00:0.82,3.89E6,3.18E6,1.00:0.82,118842,FERM  RhoGEF and pleckstrin domain-containing protein 1 OS=Rattus norvegicus GN=Farp1 PE=1 SV=2
329,381,Q4V887|S39A6_RAT,0.47,3,2,2,Carbamidomethylation; Formylation,2.23E7,1.95E7,1.00:0.87,2.23E7,1.95E7,1.00:0.87,83231,Zinc transporter ZIP6 OS=Rattus norvegicus GN=Slc39a6 PE=1 SV=1
479,849,tr|A0A0G2JXT9|A0A0G2JXT9_RAT,0.47,0,1,1,,6.51E8,7.85E8,1.00:1.21,6.51E8,7.85E8,1.00:1.21,222020,Protein Arhgef17 OS=Rattus norvegicus GN=Arhgef17 PE=1 SV=1
177,399,O55012|PICAL_RAT,0.47,4,2,2,,3.33E7,3.81E7,1.00:1.15,3.33E7,3.81E7,1.00:1.15,69286,Phosphatidylinositol-binding clathrin assembly protein OS=Rattus norvegicus GN=Picalm PE=1 SV=1
288,259,tr|A0A0G2K654|A0A0G2K654_RAT,0.46,23,4,1,Acetylation (Protein N-term),7.45E6,6.15E6,1.00:0.83,7.45E6,6.15E6,1.00:0.83,21317,Protein Hist1h1c OS=Rattus norvegicus GN=Hist1h1c PE=1 SV=1
378,362,Q03351|NTRK3_RAT,0.46,2,2,2,,1.55E7,1.35E7,1.00:0.87,1.55E7,1.35E7,1.00:0.87,97064,NT-3 growth factor receptor OS=Rattus norvegicus GN=Ntrk3 PE=1 SV=2
20,98,Q68FR8|TBA3_RAT,0.45,48,23,1,Carbamidomethylation; Carbamylation; Deamidation (NQ); Formylation; Oxidation (M); 5 more,2.66E7,2.34E7,1.00:0.88,2.66E7,2.34E7,1.00:0.88,49960,Tubulin alpha-3 chain OS=Rattus norvegicus GN=Tuba3a PE=2 SV=1
157,195,P11730|KCC2G_RAT,0.45,15,6,1,Carbamylation; Oxidation (M); Methylation(KR),4.17E6,3.45E6,1.00:0.83,4.17E6,3.45E6,1.00:0.83,59038,Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Rattus norvegicus GN=Camk2g PE=1 SV=1
540,7390,tr|F1MAS4|F1MAS4_RAT,0.42,0,1,1,,6.38E6,7.61E6,1.00:1.19,6.38E6,7.61E6,1.00:1.19,300928,Protein Celsr1 OS=Rattus norvegicus GN=Celsr1 PE=3 SV=3
543,7415,D3ZE55|PCDH8_RAT,0.42,1,1,1,,2.09E6,2.49E6,1.00:1.19,2.09E6,2.49E6,1.00:1.19,113191,Protocadherin-8 OS=Rattus norvegicus GN=Pcdh8 PE=1 SV=2
472,739,P19332|TAU_RAT,0.42,1,1,1,,6.04E6,5.07E6,1.00:0.84,6.04E6,5.07E6,1.00:0.84,78564,Microtubule-associated protein tau OS=Rattus norvegicus GN=Mapt PE=1 SV=3
364,406,P97849|S27A1_RAT,0.41,3,2,2,,9.57E6,8.46E6,1.00:0.88,9.57E6,8.46E6,1.00:0.88,71283,Long-chain fatty acid transport protein 1 OS=Rattus norvegicus GN=Slc27a1 PE=2 SV=1
507,692,Q66H28|TM206_RAT,0.40,2,1,1,,7.19E6,6.08E6,1.00:0.85,7.19E6,6.08E6,1.00:0.85,40073,Transmembrane protein 206 OS=Rattus norvegicus GN=Tmem206 PE=1 SV=1
239,224,Q4V8I7|LRC8A_RAT,0.39,7,5,5,Carbamidomethylation,1.87E7,1.7E7,1.00:0.91,1.87E7,1.7E7,1.00:0.91,94162,Volume-regulated anion channel subunit LRRC8A OS=Rattus norvegicus GN=Lrrc8a PE=1 SV=1
53,75,P06686|AT1A2_RAT,0.39,22,17,5,Carbamidomethylation; Formylation; Oxidation (M); Pyro-glu from Q; Deamidation (NQ); Dehydration,4.2E7,3.82E7,1.00:0.91,4.2E7,3.82E7,1.00:0.91,112217,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Rattus norvegicus GN=Atp1a2 PE=1 SV=1
284,607,P97546|NPTN_RAT,0.38,9,3,3,Oxidation (M),2.82E7,2.56E7,1.00:0.91,2.82E7,2.56E7,1.00:0.91,43932,Neuroplastin OS=Rattus norvegicus GN=Nptn PE=1 SV=2
447,610,tr|F7EYB9|F7EYB9_RAT,0.38,2,1,1,,7.96E6,6.79E6,1.00:0.85,7.96E6,6.79E6,1.00:0.85,49581,Protein Omg OS=Rattus norvegicus GN=Omg PE=4 SV=1
417,604,tr|D4A6W6|D4A6W6_RAT,0.38,4,1,1,,6E6,5.12E6,1.00:0.85,6E6,5.12E6,1.00:0.85,28157,Protein RGD1561333 OS=Rattus norvegicus GN=RGD1561333 PE=3 SV=1
262,277,P47861|SYT5_RAT,0.37,8,3,2,Carbamidomethylation; Formylation,9.36E6,8.53E6,1.00:0.91,9.36E6,8.53E6,1.00:0.91,43127,Synaptotagmin-5 OS=Rattus norvegicus GN=Syt5 PE=1 SV=1
191,231,P31422|GRM3_RAT,0.36,8,6,4,Oxidation (M); Carbamidomethylation,3.43E7,3.15E7,1.00:0.92,3.43E7,3.15E7,1.00:0.92,98960,Metabotropic glutamate receptor 3 OS=Rattus norvegicus GN=Grm3 PE=1 SV=1
450,738,P97633|KC1A_RAT,0.36,2,1,1,,7.01E6,6.04E6,1.00:0.86,7.01E6,6.04E6,1.00:0.86,37495,Casein kinase I isoform alpha OS=Rattus norvegicus GN=Csnk1a1 PE=2 SV=1
156,194,P11275|KCC2A_RAT,0.36,14,5,1,Formylation; Oxidation (M); Carbamylation; Methylation(KR),1.38E7,1.19E7,1.00:0.86,1.38E7,1.19E7,1.00:0.86,54115,Calcium/calmodulin-dependent protein kinase type II subunit alpha OS=Rattus norvegicus GN=Camk2a PE=1 SV=1
516,825,tr|F1M2D4|F1M2D4_RAT,0.34,1,1,1,Carbamidomethylation,2.17E6,1.88E6,1.00:0.86,2.17E6,1.88E6,1.00:0.86,159229,Protein Arhgap23 OS=Rattus norvegicus GN=Arhgap23 PE=1 SV=3
534,7293,P55280|CADH6_RAT,0.34,2,1,1,,4.15E6,4.79E6,1.00:1.15,4.15E6,4.79E6,1.00:1.15,88341,Cadherin-6 OS=Rattus norvegicus GN=Cdh6 PE=1 SV=1
11,18,Q4QRB4|TBB3_RAT,0.33,60,27,6,Carbamidomethylation; Acetylation (N-term); Carbamylation; Deamidation (NQ); Formylation; 6 more,1.13E8,1.21E8,1.00:1.08,1.13E8,1.21E8,1.00:1.08,50419,Tubulin beta-3 chain OS=Rattus norvegicus GN=Tubb3 PE=1 SV=1
76,149,P68035|ACTC_RAT,0.32,30,10,2,Carbamylation; Deamidation (NQ); Formylation; Formylation (Protein N-term); Oxidation (M); Iodination,1.03E7,9.36E6,1.00:0.91,1.03E7,9.36E6,1.00:0.91,42019,Actin  alpha cardiac muscle 1 OS=Rattus norvegicus GN=Actc1 PE=2 SV=1
12,15,tr|B4F7C2|B4F7C2_RAT,0.32,62,31,3,Carbamidomethylation; Carbamylation; Deamidation (NQ); Formylation; Oxidation (M); 3 more,1.93E7,1.78E7,1.00:0.92,1.93E7,1.78E7,1.00:0.92,49586,Tubulin beta chain OS=Rattus norvegicus GN=Tubb4a PE=1 SV=1
542,7413,Q7M733|HPS6_RAT,0.31,1,1,1,,7.16E6,8.14E6,1.00:1.14,7.16E6,8.14E6,1.00:1.14,87463,Hermansky-Pudlak syndrome 6 protein homolog OS=Rattus norvegicus GN=Hps6 PE=1 SV=1
58,55,P31000|VIME_RAT,0.30,31,14,11,Carbamidomethylation; Deamidation (NQ); Pyro-glu from Q; Formylation; Oxidation (M),2.02E8,1.9E8,1.00:0.94,2.02E8,1.9E8,1.00:0.94,53733,Vimentin OS=Rattus norvegicus GN=Vim PE=1 SV=2
528,890,tr|D3ZMB0|D3ZMB0_RAT,0.30,1,1,1,,9.08E6,1.03E7,1.00:1.13,9.08E6,1.03E7,1.00:1.13,210796,A disintegrin-like and metalloprotease (Reprolysin type) with thrombospondin type 1 motif  9 (Predicted) OS=Rattus norvegicus GN=Adamts9 PE=4 SV=1
193,123,P10719|ATPB_RAT,0.29,15,6,6,,3.24E7,3.04E7,1.00:0.94,3.24E7,3.04E7,1.00:0.94,56354,ATP synthase subunit beta  mitochondrial OS=Rattus norvegicus GN=Atp5b PE=1 SV=2
436,7320,tr|D3ZBM3|D3ZBM3_RAT,0.29,4,1,1,,4.14E6,4.69E6,1.00:1.13,4.14E6,4.69E6,1.00:1.13,47552,Ferrochelatase OS=Rattus norvegicus GN=Fech PE=1 SV=1
356,434,P34926|MAP1A_RAT,0.29,1,2,1,,2.31E6,2.04E6,1.00:0.88,2.31E6,2.04E6,1.00:0.88,299529,Microtubule-associated protein 1A OS=Rattus norvegicus GN=Map1a PE=1 SV=1
441,735,tr|A0A096MK15|A0A096MK15_RAT,0.28,0,1,1,,7.16E6,8.04E6,1.00:1.12,7.16E6,8.04E6,1.00:1.12,772118,Protein Neb OS=Rattus norvegicus GN=Neb PE=1 SV=1
429,764,Q62747|SYT7_RAT,0.27,3,1,1,,3.01E6,2.68E6,1.00:0.89,3.01E6,2.68E6,1.00:0.89,45482,Synaptotagmin-7 OS=Rattus norvegicus GN=Syt7 PE=1 SV=1
80,126,D3ZHV2|MACF1_RAT,0.25,3,13,13,Carbamidomethylation; Pyro-glu from Q,2.22E7,2.08E7,1.00:0.94,2.22E7,2.08E7,1.00:0.94,619608,Microtubule-actin cross-linking factor 1 OS=Rattus norvegicus GN=Macf1 PE=1 SV=1
487,2268,tr|A0A0G2K2W0|A0A0G2K2W0_RAT,0.24,1,1,1,Carbamidomethylation,3.05E6,3.38E6,1.00:1.11,3.05E6,3.38E6,1.00:1.11,250166,Protein Ptprb OS=Rattus norvegicus GN=Ptprb PE=1 SV=1
264,325,Q9QYP0|MEGF8_RAT,0.24,1,2,2,,1E7,1.08E7,1.00:1.08,1E7,1.08E7,1.00:1.08,297554,Multiple epidermal growth factor-like domains protein 8 OS=Rattus norvegicus GN=Megf8 PE=1 SV=2
427,716,P07825|SYPH_RAT,0.23,4,1,1,Carbamidomethylation,5.41E6,5.97E6,1.00:1.10,5.41E6,5.97E6,1.00:1.10,33311,Synaptophysin OS=Rattus norvegicus GN=Syp PE=1 SV=1
428,741,Q9Z0J8|NEGR1_RAT,0.22,4,1,1,,9.84E6,8.95E6,1.00:0.91,9.84E6,8.95E6,1.00:0.91,37858,Neuronal growth regulator 1 OS=Rattus norvegicus GN=Negr1 PE=1 SV=1
504,612,tr|M0RAS4|M0RAS4_RAT,0.21,3,1,1,,5.79E6,5.29E6,1.00:0.91,5.79E6,5.29E6,1.00:0.91,40571,Protein Igsf21 OS=Rattus norvegicus GN=Igsf21 PE=4 SV=2
337,554,P34058|HS90B_RAT,0.21,2,2,2,,5.32E6,4.98E6,1.00:0.94,5.32E6,4.98E6,1.00:0.94,83281,Heat shock protein HSP 90-beta OS=Rattus norvegicus GN=Hsp90ab1 PE=1 SV=4
182,244,Q6IG03|K2C73_RAT,0.21,9,5,1,Carbamidomethylation; Formylation,3.52E6,3.22E6,1.00:0.91,3.52E6,3.22E6,1.00:0.91,60387,Keratin  type II cytoskeletal 73 OS=Rattus norvegicus GN=Krt73 PE=1 SV=1
237,266,tr|D4AA77|D4AA77_RAT,0.20,2,4,2,Carbamidomethylation,8.05E6,8.61E6,1.00:1.07,8.05E6,8.61E6,1.00:1.07,190134,Plexin D1 (Predicted) OS=Rattus norvegicus GN=Plxnd1 PE=1 SV=2
519,837,O55145|X3CL1_RAT,0.20,2,1,1,,8.23E6,7.55E6,1.00:0.92,8.23E6,7.55E6,1.00:0.92,41977,Fractalkine OS=Rattus norvegicus GN=Cx3cl1 PE=2 SV=3
524,870,Q62867|GGH_RAT,0.20,3,1,1,,3.92E6,3.59E6,1.00:0.92,3.92E6,3.59E6,1.00:0.92,35830,Gamma-glutamyl hydrolase OS=Rattus norvegicus GN=Ggh PE=1 SV=1
112,250,Q6IFW6|K1C10_RAT,0.19,11,7,6,Methylation(others); Pyro-glu from Q; Formylation; Methylation(KR),3.82E7,4.01E7,1.00:1.05,3.82E7,4.01E7,1.00:1.05,56505,Keratin  type I cytoskeletal 10 OS=Rattus norvegicus GN=Krt10 PE=3 SV=1
159,187,P19969|GBRA5_RAT,0.19,16,8,5,Deamidation (NQ); Formylation,2.21E7,2.32E7,1.00:1.05,2.21E7,2.32E7,1.00:1.05,52337,Gamma-aminobutyric acid receptor subunit alpha-5 OS=Rattus norvegicus GN=Gabra5 PE=2 SV=1
228,293,tr|D3ZUY8|D3ZUY8_RAT,0.18,5,5,1,Carbamidomethylation; Pyro-glu from Q,2.29E6,2.48E6,1.00:1.08,2.29E6,2.48E6,1.00:1.08,107675,Adaptor protein complex AP-2  alpha 1 subunit (Predicted) OS=Rattus norvegicus GN=Ap2a1 PE=1 SV=1
445,1417,F1LMY4|RYR1_RAT,0.17,0,1,1,Carbamidomethylation,1.34E7,1.44E7,1.00:1.08,1.34E7,1.44E7,1.00:1.08,565491,Ryanodine receptor 1 OS=Rattus norvegicus GN=Ryr1 PE=1 SV=1
130,162,tr|E9PT53|E9PT53_RAT,0.16,10,9,9,Pyro-glu from Q; Oxidation (M),4.94E7,4.77E7,1.00:0.97,4.94E7,4.77E7,1.00:0.97,100563,Protein Wfs1 OS=Rattus norvegicus GN=Wfs1 PE=1 SV=2
229,7254,P17078|RL35_RAT,0.16,14,2,2,,1.72E7,1.64E7,1.00:0.95,1.72E7,1.64E7,1.00:0.95,14553,60S ribosomal protein L35 OS=Rattus norvegicus GN=Rpl35 PE=1 SV=3
311,467,tr|A0A0G2K5L1|A0A0G2K5L1_RAT,0.14,1,2,1,,1.81E8,1.7E8,1.00:0.94,1.81E8,1.7E8,1.00:0.94,507350,Protein Fat1 OS=Rattus norvegicus GN=Fat1 PE=1 SV=1
452,788,Q9JIX5|CHD8_RAT,0.14,0,1,1,,1.16E7,1.23E7,1.00:1.06,1.16E7,1.23E7,1.00:1.06,290691,Chromodomain-helicase-DNA-binding protein 8 OS=Rattus norvegicus GN=Chd8 PE=1 SV=2
189,166,P15127|INSR_RAT,0.13,4,6,5,Carbamidomethylation,1.72E7,1.66E7,1.00:0.97,1.72E7,1.66E7,1.00:0.97,156757,Insulin receptor OS=Rattus norvegicus GN=Insr PE=1 SV=1
359,497,tr|D3ZYM4|D3ZYM4_RAT,0.13,1,2,1,,2.25E7,2.38E7,1.00:1.06,2.25E7,2.38E7,1.00:1.06,150243,Protein Mst1r OS=Rattus norvegicus GN=Mst1r PE=1 SV=2
397,7268,Q62656|PTPRZ_RAT,0.09,0,1,1,,4.03E6,3.89E6,1.00:0.96,4.03E6,3.89E6,1.00:0.96,255340,Receptor-type tyrosine-protein phosphatase zeta OS=Rattus norvegicus GN=Ptprz1 PE=1 SV=1
455,834,Q6AYQ0|MAGIX_RAT,0.08,3,1,1,,1.39E7,1.43E7,1.00:1.03,1.39E7,1.43E7,1.00:1.03,34743,PDZ domain-containing protein MAGIX OS=Rattus norvegicus GN=Magix PE=2 SV=1
204,189,P31424|GRM5_RAT,0.07,4,4,4,,1.77E7,1.73E7,1.00:0.98,1.77E7,1.73E7,1.00:0.98,131885,Metabotropic glutamate receptor 5 OS=Rattus norvegicus GN=Grm5 PE=1 SV=2
335,468,Q6Q7Y5|GNA13_RAT,0.05,5,2,2,,1.5E7,1.47E7,1.00:0.98,1.5E7,1.47E7,1.00:0.98,44012,Guanine nucleotide-binding protein subunit alpha-13 OS=Rattus norvegicus GN=Gna13 PE=1 SV=1
473,743,Q00960|NMDE2_RAT,0.05,1,1,1,,3.87E6,3.79E6,1.00:0.98,3.87E6,3.79E6,1.00:0.98,166070,Glutamate receptor ionotropic  NMDA 2B OS=Rattus norvegicus GN=Grin2b PE=1 SV=1
379,386,Q6Q629|DPP10_RAT,0.03,3,3,1,Oxidation (M),4.26E6,4.2E6,1.00:0.99,4.26E6,4.2E6,1.00:0.99,90891,Inactive dipeptidyl peptidase 10 OS=Rattus norvegicus GN=Dpp10 PE=1 SV=1
537,7366,tr|D3ZAF9|D3ZAF9_RAT,0.02,1,1,1,,1.51E7,1.5E7,1.00:0.99,1.51E7,1.5E7,1.00:0.99,88930,Protein Sh3pxd2b OS=Rattus norvegicus GN=Sh3pxd2b PE=1 SV=2
426,696,tr|A0A0G2JUZ0|A0A0G2JUZ0_RAT,0.02,2,1,1,,4.11E6,4.08E6,1.00:0.99,4.11E6,4.08E6,1.00:0.99,75543,Protein Mtmr1 OS=Rattus norvegicus GN=Mtmr1 PE=1 SV=1
